,지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi)
0,108,서울,2022-01-01,-4.3,-10.2,710.0,2.3,1544
1,108,서울,2022-01-02,-1.3,-5.2,2356.0,3.0,1551
2,108,서울,2022-01-03,-1.9,-8.0,714.0,2.5,1542
3,108,서울,2022-01-04,-2.5,-5.6,2400.0,1.0,1445
4,108,서울,2022-01-05,-2.8,-7.8,634.0,1.9,1518
5,108,서울,2022-01-06,-2.2,-5.9,745.0,3.3,1604
6,108,서울,2022-01-07,-1.6,-5.9,634.0,4.5,1525
7,108,서울,2022-01-08,0.3,-5.0,729.0,3.7,1623
8,108,서울,2022-01-09,1.3,-1.2,2353.0,5.6,1522
9,108,서울,2022-01-10,0.5,-3.4,735.0,4.4,1348
10,108,서울,2022-01-11,-7.4,-10.3,2326.0,0.3,1
11,108,서울,2022-01-12,-7.7,-11.3,223.0,-3.4,1521
12,108,서울,2022-01-13,-6.4,-8.9,2352.0,-3.1,1456
13,108,서울,2022-01-14,-4.8,-10.1,750.0,1.3,1526
14,108,서울,2022-01-15,-1.0,-5.3,426.0,1.8,1545
15,108,서울,2022-01-16,-2.0,-7.2,2352.0,2.4,208
16,108,서울,2022-01-17,-5.8,-9.2,518.0,0.1,1317
17,108,서울,2022-01-18,-5.6,-9.9,744.0,-0.7,1514
18,108,서울,2022-01-19,-5.3,-7.7,2357.0,-2.7,1558
19,108,서울,2022-01-20,-5.0,-9.8,605.0,0.9,1603
20,108,서울,2022-01-21,-2.7,-8.7,755.0,4.6,1534
21,108,서울,2022-01-22,0.3,-5.0,734.0,7.1,1512
22,108,서울,2022-01-23,2.0,-0.6,549.0,6.7,1411
23,108,서울,2022-01-24,4.6,1.3,1.0,8.4,1329
24,108,서울,2022-01-25,2.8,1.9,822.0,4.5,1
25,108,서울,2022-01-26,1.3,-1.9,639.0,6.8,1429
26,108,서울,2022-01-27,-1.1,-4.6,757.0,4.0,1541
27,108,서울,2022-01-28,-2.7,-5.9,811.0,2.1,1516
28,108,서울,2022-01-29,-3.6,-7.2,741.0,0.9,1531
29,108,서울,2022-01-30,-2.8,-8.0,713.0,2.4,1629
30,108,서울,2022-01-31,-0.7,-6.8,736.0,4.8,1507
31,108,서울,2022-02-01,-1.3,-2.7,2345.0,0.9,1601
32,108,서울,2022-02-02,-3.4,-6.0,541.0,0.0,1529
33,108,서울,2022-02-03,-3.4,-6.9,746.0,0.4,1458
34,108,서울,2022-02-04,-5.2,-8.2,2356.0,-0.7,1404
35,108,서울,2022-02-05,-6.6,-9.7,742.0,-2.0,1508
36,108,서울,2022-02-06,-3.9,-8.4,500.0,1.7,1537
37,108,서울,2022-02-07,-2.5,-7.3,510.0,1.9,1259
38,108,서울,2022-02-08,-0.1,-4.1,629.0,5.6,1555
39,108,서울,2022-02-09,1.0,-4.3,757.0,7.2,1400
40,108,서울,2022-02-10,1.4,-3.2,707.0,6.7,1544
41,108,서울,2022-02-11,2.9,-2.6,740.0,8.8,1449
42,108,서울,2022-02-12,4.8,-0.1,727.0,10.4,1605
43,108,서울,2022-02-13,4.8,1.6,330.0,9.5,1616
44,108,서울,2022-02-14,2.5,-1.3,2352.0,8.1,1248
45,108,서울,2022-02-15,-4.7,-7.7,2321.0,-1.3,1
46,108,서울,2022-02-16,-7.3,-9.6,2400.0,-4.1,1526
47,108,서울,2022-02-17,-6.2,-10.7,752.0,-0.5,1554
48,108,서울,2022-02-18,-1.2,-8.0,716.0,5.7,1531
49,108,서울,2022-02-19,-1.7,-6.2,2345.0,3.7,1403
50,108,서울,2022-02-20,-4.8,-8.4,703.0,-0.5,1548
51,108,서울,2022-02-21,-3.0,-8.1,623.0,3.6,1415
52,108,서울,2022-02-22,-4.5,-8.0,2400.0,0.5,1438
53,108,서울,2022-02-23,-5.6,-10.0,721.0,-0.6,1623
54,108,서울,2022-02-24,-2.4,-8.5,508.0,3.7,1454
55,108,서울,2022-02-25,3.0,-3.6,716.0,8.4,1537
56,108,서울,2022-02-26,5.4,1.0,2355.0,9.3,1313
57,108,서울,2022-02-27,3.7,-1.6,730.0,9.1,1513
58,108,서울,2022-02-28,6.8,2.7,48.0,11.5,1626
59,108,서울,2022-03-01,5.8,0.3,2355.0,9.7,1616
60,108,서울,2022-03-02,3.5,-2.3,611.0,8.8,1256
61,108,서울,2022-03-03,5.8,0.9,720.0,12.4,1413
62,108,서울,2022-03-04,6.9,0.6,652.0,14.6,1338
63,108,서울,2022-03-05,2.3,-0.7,2341.0,6.7,1600
64,108,서울,2022-03-06,1.4,-3.0,629.0,6.8,1603
65,108,서울,2022-03-07,2.8,-2.7,703.0,8.7,1505
66,108,서울,2022-03-08,6.0,1.1,307.0,12.3,1455
67,108,서울,2022-03-09,7.1,1.7,706.0,14.8,1520
68,108,서울,2022-03-10,9.3,4.2,658.0,15.8,1534
69,108,서울,2022-03-11,11.2,5.1,641.0,18.4,1544
70,108,서울,2022-03-12,12.8,6.3,632.0,19.5,1408
71,108,서울,2022-03-13,11.7,10.7,111.0,12.6,1
72,108,서울,2022-03-14,8.2,4.9,2350.0,13.2,1205
73,108,서울,2022-03-15,7.2,2.3,702.0,13.3,1538
74,108,서울,2022-03-16,10.3,3.6,703.0,16.8,1513
75,108,서울,2022-03-17,10.7,7.8,2333.0,15.1,1413
76,108,서울,2022-03-18,7.5,5.5,2356.0,9.6,1246
77,108,서울,2022-03-19,3.4,0.9,721.0,6.1,1557
78,108,서울,2022-03-20,5.4,2.2,2400.0,9.3,1556
79,108,서울,2022-03-21,5.0,-0.3,640.0,10.9,1355
80,108,서울,2022-03-22,7.1,1.1,637.0,13.6,1617
81,108,서울,2022-03-23,6.2,4.9,616.0,8.2,1615
82,108,서울,2022-03-24,8.2,3.9,453.0,12.4,1459
83,108,서울,2022-03-25,12.0,6.3,559.0,17.2,1549
84,108,서울,2022-03-26,11.8,9.5,959.0,14.7,1735
85,108,서울,2022-03-27,8.1,5.0,2354.0,12.6,1432
86,108,서울,2022-03-28,8.2,1.5,611.0,15.1,1600
87,108,서울,2022-03-29,9.7,3.3,533.0,15.6,1545
88,108,서울,2022-03-30,10.8,5.9,629.0,15.7,1209
89,108,서울,2022-03-31,10.9,7.6,2352.0,14.7,1421
90,108,서울,2022-04-01,9.2,4.5,620.0,14.9,1347
91,108,서울,2022-04-02,8.2,3.7,618.0,14.2,1444
92,108,서울,2022-04-03,9.6,3.5,629.0,17.0,1527
93,108,서울,2022-04-04,10.3,5.1,638.0,16.4,1328
94,108,서울,2022-04-05,10.3,4.9,615.0,15.8,1409
95,108,서울,2022-04-06,11.7,8.0,600.0,17.0,1431
96,108,서울,2022-04-07,10.9,7.4,2359.0,15.7,1310
97,108,서울,2022-04-08,12.9,5.1,612.0,20.0,1521
98,108,서울,2022-04-09,17.8,12.4,751.0,24.2,1418
99,108,서울,2022-04-10,18.2,12.7,614.0,25.1,1501
100,108,서울,2022-04-11,19.6,13.4,556.0,26.6,1529
101,108,서울,2022-04-12,19.3,15.9,2358.0,26.4,1449
102,108,서울,2022-04-13,13.1,12.0,2135.0,15.9,1
103,108,서울,2022-04-14,13.2,11.4,2335.0,15.3,1411
104,108,서울,2022-04-15,13.3,7.5,627.0,19.3,1602
105,108,서울,2022-04-16,13.2,7.1,557.0,20.2,1513
106,108,서울,2022-04-17,14.0,7.2,559.0,21.9,1418
107,108,서울,2022-04-18,15.2,11.4,309.0,21.6,1427
108,108,서울,2022-04-19,15.2,8.9,614.0,22.1,1357
109,108,서울,2022-04-20,15.7,9.7,610.0,22.1,1357
110,108,서울,2022-04-21,16.3,9.6,543.0,22.7,1343
111,108,서울,2022-04-22,15.0,13.2,2349.0,16.8,929
112,108,서울,2022-04-23,17.7,10.4,539.0,25.3,1555
113,108,서울,2022-04-24,18.5,15.0,608.0,24.5,1418
114,108,서울,2022-04-25,20.0,17.0,1.0,23.6,1606
115,108,서울,2022-04-26,21.9,17.0,437.0,28.7,1451
116,108,서울,2022-04-27,17.7,12.6,528.0,23.9,1551
117,108,서울,2022-04-28,18.2,11.6,603.0,25.9,1432
118,108,서울,2022-04-29,13.4,10.7,619.0,16.5,1236
119,108,서울,2022-04-30,13.0,10.5,143.0,17.8,1326
120,108,서울,2022-05-01,13.4,7.9,514.0,19.2,1512
121,108,서울,2022-05-02,14.2,9.1,538.0,19.4,1508
122,108,서울,2022-05-03,14.8,9.1,606.0,20.8,1535
123,108,서울,2022-05-04,17.8,10.0,620.0,25.2,1348
124,108,서울,2022-05-05,18.9,12.5,557.0,25.8,1501
125,108,서울,2022-05-06,19.6,13.7,530.0,25.6,1345
126,108,서울,2022-05-07,18.4,15.3,754.0,23.1,1319
127,108,서울,2022-05-08,15.3,11.7,2344.0,18.2,1230
128,108,서울,2022-05-09,17.9,11.0,613.0,25.3,1620
129,108,서울,2022-05-10,19.9,13.6,547.0,26.3,1529
130,108,서울,2022-05-11,19.7,16.6,2353.0,25.2,1508
131,108,서울,2022-05-12,20.9,14.1,607.0,28.1,1540
132,108,서울,2022-05-13,19.4,15.0,2358.0,25.2,1355
133,108,서울,2022-05-14,15.7,11.9,545.0,20.0,1342
134,108,서울,2022-05-15,16.2,10.5,516.0,22.4,1509
135,108,서울,2022-05-16,17.3,10.9,537.0,23.7,1352
136,108,서울,2022-05-17,20.0,13.0,551.0,27.4,1527
137,108,서울,2022-05-18,20.0,15.7,442.0,25.4,1404
138,108,서울,2022-05-19,19.9,16.1,614.0,24.2,1406
139,108,서울,2022-05-20,20.6,15.6,543.0,25.8,1322
140,108,서울,2022-05-21,20.1,16.1,2349.0,26.0,1420
141,108,서울,2022-05-22,20.3,15.7,315.0,25.8,1450
142,108,서울,2022-05-23,23.0,17.8,108.0,30.7,1513
143,108,서울,2022-05-24,22.9,16.7,528.0,30.2,1450
144,108,서울,2022-05-25,21.0,16.7,2400.0,26.7,1211
145,108,서울,2022-05-26,18.7,14.1,540.0,23.5,1513
146,108,서울,2022-05-27,20.0,16.0,601.0,25.6,1552
147,108,서울,2022-05-28,22.3,15.0,439.0,29.3,1426
148,108,서울,2022-05-29,23.1,19.3,446.0,29.7,1648
149,108,서울,2022-05-30,20.8,17.2,2335.0,24.7,1237
150,108,서울,2022-05-31,20.7,14.2,525.0,27.2,1428
151,108,서울,2022-06-01,22.1,16.2,547.0,28.6,1415
152,108,서울,2022-06-02,21.5,17.1,150.0,26.9,1324
153,108,서울,2022-06-03,24.5,18.7,23.0,32.6,1506
154,108,서울,2022-06-04,25.6,20.3,546.0,29.7,1724
155,108,서울,2022-06-05,22.7,20.2,2132.0,27.0,1142
156,108,서울,2022-06-06,19.7,16.7,2323.0,24.5,1517
157,108,서울,2022-06-07,20.6,15.1,550.0,25.1,1236
158,108,서울,2022-06-08,21.2,16.2,541.0,25.8,1449
159,108,서울,2022-06-09,20.9,18.5,517.0,24.5,1620
160,108,서울,2022-06-10,20.9,17.2,534.0,26.6,1128
161,108,서울,2022-06-11,24.6,17.7,527.0,32.7,1629
162,108,서울,2022-06-12,24.6,18.9,525.0,31.5,1520
163,108,서울,2022-06-13,23.6,19.6,513.0,29.2,1234
164,108,서울,2022-06-14,21.5,17.7,2357.0,27.1,1245
165,108,서울,2022-06-15,17.5,14.9,603.0,20.1,1921
166,108,서울,2022-06-16,20.3,17.6,619.0,24.8,1737
167,108,서울,2022-06-17,22.5,16.5,533.0,28.1,1413
168,108,서울,2022-06-18,23.3,22.0,538.0,25.1,1722
169,108,서울,2022-06-19,23.4,22.3,303.0,25.1,1719
170,108,서울,2022-06-20,25.2,22.0,543.0,29.0,1611
171,108,서울,2022-06-21,26.5,21.2,553.0,32.6,1539
172,108,서울,2022-06-22,25.9,21.9,344.0,31.0,1542
173,108,서울,2022-06-23,24.3,23.3,2216.0,26.4,1130
174,108,서울,2022-06-24,22.6,20.6,617.0,24.9,1805
175,108,서울,2022-06-25,26.0,21.5,221.0,30.5,1512
176,108,서울,2022-06-26,26.5,24.8,234.0,28.1,1500
177,108,서울,2022-06-27,26.8,25.4,454.0,28.1,1107
178,108,서울,2022-06-28,26.9,25.7,2337.0,27.9,1001
179,108,서울,2022-06-29,25.1,24.4,2134.0,26.1,1733
180,108,서울,2022-06-30,22.3,21.2,1739.0,24.5,1
181,108,서울,2022-07-01,26.6,21.9,1.0,30.9,1536
182,108,서울,2022-07-02,28.8,24.0,521.0,33.8,1601
183,108,서울,2022-07-03,29.3,24.4,612.0,34.2,1522
184,108,서울,2022-07-04,29.3,26.4,524.0,32.6,1621
185,108,서울,2022-07-05,29.2,26.7,459.0,33.1,1545
186,108,서울,2022-07-06,29.5,26.2,502.0,33.3,1645
187,108,서울,2022-07-07,28.2,26.4,439.0,31.0,1608
188,108,서울,2022-07-08,25.8,24.0,2357.0,27.9,1647
189,108,서울,2022-07-09,26.9,24.0,1.0,30.9,1416
190,108,서울,2022-07-10,29.2,24.6,529.0,35.1,1547
191,108,서울,2022-07-11,27.0,24.7,316.0,30.6,1226
192,108,서울,2022-07-12,26.8,23.2,508.0,29.4,1402
193,108,서울,2022-07-13,25.0,24.0,1253.0,27.1,1
194,108,서울,2022-07-14,25.7,23.3,405.0,29.9,1533
195,108,서울,2022-07-15,26.0,23.0,440.0,30.3,1544
196,108,서울,2022-07-16,24.8,23.2,2354.0,28.2,1323
197,108,서울,2022-07-17,25.5,22.5,406.0,29.7,1518
198,108,서울,2022-07-18,26.8,23.1,530.0,30.1,1258
199,108,서울,2022-07-19,27.4,24.3,532.0,31.1,1549
200,108,서울,2022-07-20,27.1,24.3,2400.0,30.4,1435
201,108,서울,2022-07-21,23.2,20.8,622.0,25.2,1840
202,108,서울,2022-07-22,25.1,22.9,507.0,27.5,1718
203,108,서울,2022-07-23,24.8,22.3,2320.0,28.0,1344
204,108,서울,2022-07-24,25.0,22.0,118.0,28.4,1627
205,108,서울,2022-07-25,27.5,23.6,546.0,32.0,1616
206,108,서울,2022-07-26,28.9,24.4,530.0,33.1,1428
207,108,서울,2022-07-27,29.3,26.4,547.0,33.4,1509
208,108,서울,2022-07-28,29.7,25.1,545.0,34.4,1509
209,108,서울,2022-07-29,30.7,27.3,511.0,34.3,1419
210,108,서울,2022-07-30,30.9,27.3,532.0,36.1,1440
211,108,서울,2022-07-31,27.2,25.4,2327.0,29.0,1
212,108,서울,2022-08-01,28.6,25.4,4.0,32.4,1420
213,108,서울,2022-08-02,26.8,25.5,2257.0,28.5,1
214,108,서울,2022-08-03,27.1,25.2,457.0,30.0,1600
215,108,서울,2022-08-04,28.9,26.0,549.0,32.9,1532
216,108,서울,2022-08-05,29.4,27.0,111.0,32.7,1430
217,108,서울,2022-08-06,28.7,27.4,454.0,30.3,1718
218,108,서울,2022-08-07,28.9,27.2,354.0,31.7,1421
219,108,서울,2022-08-08,26.8,27.2,354.0,28.4,1
220,108,서울,2022-08-09,25.1,22.0,2354.0,26.5,1538
221,108,서울,2022-08-10,24.7,21.4,455.0,28.8,1503
222,108,서울,2022-08-11,25.0,23.4,528.0,27.5,1502
223,108,서울,2022-08-12,27.0,23.0,614.0,32.4,1557
224,108,서울,2022-08-13,25.8,24.7,1305.0,27.5,1743
225,108,서울,2022-08-14,27.6,24.5,553.0,31.5,1414
226,108,서울,2022-08-15,28.1,26.6,2357.0,29.8,1233
227,108,서울,2022-08-16,26.7,24.1,652.0,30.0,1531
228,108,서울,2022-08-17,26.0,22.8,618.0,30.5,1338
229,108,서울,2022-08-18,25.6,22.4,556.0,29.8,1408
230,108,서울,2022-08-19,26.0,23.3,355.0,27.5,1527
231,108,서울,2022-08-20,28.2,25.7,628.0,32.0,1437
232,108,서울,2022-08-21,28.1,24.7,634.0,32.0,1549
233,108,서울,2022-08-22,26.8,22.9,2302.0,30.2,1356
234,108,서울,2022-08-23,25.4,22.4,513.0,30.2,1533
235,108,서울,2022-08-24,24.8,22.4,500.0,27.9,1145
236,108,서울,2022-08-25,22.2,21.1,2322.0,24.0,1054
237,108,서울,2022-08-26,23.8,19.9,626.0,28.4,1512
238,108,서울,2022-08-27,21.5,17.6,638.0,25.5,1541
239,108,서울,2022-08-28,22.6,16.1,538.0,28.4,1644
240,108,서울,2022-08-29,21.0,19.5,940.0,22.5,1
241,108,서울,2022-08-30,19.1,17.9,527.0,20.3,1
242,108,서울,2022-08-31,21.7,19.6,32.0,24.9,1703
243,108,서울,2022-09-01,24.0,18.3,614.0,30.4,1553
244,108,서울,2022-09-02,24.7,20.3,648.0,29.8,1540
245,108,서울,2022-09-03,24.2,20.5,630.0,29.2,1456
246,108,서울,2022-09-04,22.3,19.8,632.0,24.0,1905
247,108,서울,2022-09-05,19.2,17.7,2103.0,22.7,1
248,108,서울,2022-09-06,21.0,17.0,254.0,26.3,1601
249,108,서울,2022-09-07,22.8,17.9,701.0,28.1,1511
250,108,서울,2022-09-08,23.2,16.7,635.0,29.5,1555
251,108,서울,2022-09-09,24.3,18.9,620.0,30.8,1526
252,108,서울,2022-09-10,23.6,19.0,646.0,28.4,1636
253,108,서울,2022-09-11,23.3,20.6,638.0,26.4,1331
254,108,서울,2022-09-12,23.8,20.3,558.0,27.5,1541
255,108,서울,2022-09-13,24.3,21.8,626.0,26.4,1341
256,108,서울,2022-09-14,24.6,22.7,2334.0,27.9,1410
257,108,서울,2022-09-15,25.2,22.0,504.0,28.3,1539
258,108,서울,2022-09-16,25.7,23.4,605.0,29.9,1326
259,108,서울,2022-09-17,25.6,23.3,537.0,29.4,1619
260,108,서울,2022-09-18,27.1,23.0,616.0,32.5,1551
261,108,서울,2022-09-19,24.6,19.5,2359.0,29.6,1306
262,108,서울,2022-09-20,19.9,16.1,631.0,24.6,1506
263,108,서울,2022-09-21,19.4,13.0,626.0,25.6,1449
264,108,서울,2022-09-22,19.8,14.2,635.0,24.7,1454
265,108,서울,2022-09-23,17.5,14.7,2354.0,22.2,1026
266,108,서울,2022-09-24,18.5,12.3,645.0,24.2,1503
267,108,서울,2022-09-25,19.6,15.4,553.0,25.2,1450
268,108,서울,2022-09-26,20.0,14.8,642.0,25.4,1456
269,108,서울,2022-09-27,20.9,14.0,642.0,28.0,1535
270,108,서울,2022-09-28,20.4,16.1,630.0,26.1,1617
271,108,서울,2022-09-29,20.4,16.4,612.0,26.5,1612
272,108,서울,2022-09-30,20.7,14.8,705.0,27.7,1522
273,108,서울,2022-10-01,20.9,14.4,641.0,27.6,1357
274,108,서울,2022-10-02,19.4,17.2,2232.0,21.6,1321
275,108,서울,2022-10-03,21.4,17.5,1.0,23.4,2004
276,108,서울,2022-10-04,17.9,14.2,2329.0,23.0,1
277,108,서울,2022-10-05,16.6,14.1,34.0,21.6,1519
278,108,서울,2022-10-06,15.8,12.7,640.0,19.1,1419
279,108,서울,2022-10-07,14.3,11.0,651.0,18.6,1522
280,108,서울,2022-10-08,15.8,11.1,654.0,21.6,1508
281,108,서울,2022-10-09,13.1,10.7,2221.0,14.5,117
282,108,서울,2022-10-10,9.9,8.2,2034.0,11.9,1408
283,108,서울,2022-10-11,11.1,7.4,250.0,16.4,1531
284,108,서울,2022-10-12,13.5,6.5,645.0,20.6,1513
285,108,서울,2022-10-13,16.3,10.7,639.0,22.7,1435
286,108,서울,2022-10-14,17.1,12.4,529.0,23.0,1454
287,108,서울,2022-10-15,18.2,12.6,653.0,24.4,1505
288,108,서울,2022-10-16,16.9,15.1,2400.0,20.5,1202
289,108,서울,2022-10-17,11.2,7.4,2344.0,15.1,1
290,108,서울,2022-10-18,9.4,5.0,657.0,14.2,1451
291,108,서울,2022-10-19,10.5,4.4,654.0,16.8,1510
292,108,서울,2022-10-20,12.9,6.0,711.0,19.7,1500
293,108,서울,2022-10-21,14.0,8.8,707.0,20.9,1431
294,108,서울,2022-10-22,15.1,10.5,724.0,20.8,1412
295,108,서울,2022-10-23,14.0,10.4,2356.0,18.6,1459
296,108,서울,2022-10-24,10.6,7.5,2356.0,14.8,1521
297,108,서울,2022-10-25,11.3,5.9,531.0,17.6,1535
298,108,서울,2022-10-26,12.9,8.0,653.0,17.8,1350
299,108,서울,2022-10-27,13.2,8.6,701.0,18.9,1414
300,108,서울,2022-10-28,13.6,8.2,636.0,20.6,1525
301,108,서울,2022-10-29,14.8,10.2,709.0,21.3,1507
302,108,서울,2022-10-30,14.9,10.4,702.0,21.3,1503
303,108,서울,2022-10-31,14.9,11.2,710.0,21.1,1406
304,108,서울,2022-11-01,13.1,9.4,2355.0,17.8,1511
305,108,서울,2022-11-02,11.1,5.5,715.0,17.9,1431
306,108,서울,2022-11-03,9.3,5.6,2356.0,13.4,1242
307,108,서울,2022-11-04,4.9,1.6,709.0,9.8,1440
308,108,서울,2022-11-05,6.5,0.8,721.0,13.6,1522
309,108,서울,2022-11-06,9.6,3.7,730.0,16.4,1359
310,108,서울,2022-11-07,11.4,6.1,546.0,16.6,1432
311,108,서울,2022-11-08,12.9,9.7,739.0,17.9,1414
312,108,서울,2022-11-09,11.4,6.7,718.0,16.0,1404
313,108,서울,2022-11-10,13.5,8.8,641.0,19.1,1408
314,108,서울,2022-11-11,15.6,10.9,434.0,22.1,1538
315,108,서울,2022-11-12,16.3,11.6,501.0,22.0,1318
316,108,서울,2022-11-13,10.3,8.7,2357.0,17.3,1
317,108,서울,2022-11-14,9.7,5.9,2356.0,13.8,1305
318,108,서울,2022-11-15,8.1,4.0,658.0,12.3,1341
319,108,서울,2022-11-16,8.5,5.5,703.0,13.0,1431
320,108,서울,2022-11-17,10.2,5.4,722.0,16.6,1436
321,108,서울,2022-11-18,11.0,5.3,749.0,18.1,1502
322,108,서울,2022-11-19,12.9,8.7,111.0,19.2,1507
323,108,서울,2022-11-20,13.7,9.5,725.0,20.2,1332
324,108,서울,2022-11-21,11.8,9.3,711.0,16.2,1132
325,108,서울,2022-11-22,10.7,7.0,651.0,13.7,1414
326,108,서울,2022-11-23,10.8,6.8,2343.0,15.2,1322
327,108,서울,2022-11-24,9.4,5.9,235.0,14.1,1519
328,108,서울,2022-11-25,12.3,7.1,253.0,17.8,1501
329,108,서울,2022-11-26,6.7,1.0,2341.0,12.9,1
330,108,서울,2022-11-27,5.4,-1.1,530.0,11.5,1521
331,108,서울,2022-11-28,12.3,7.5,1.0,15.0,1311
332,108,서울,2022-11-29,6.9,-1.6,2352.0,15.0,1
333,108,서울,2022-11-30,-5.4,-8.1,2328.0,-1.6,1
334,108,서울,2022-12-01,-5.4,-9.4,752.0,-1.2,1542
335,108,서울,2022-12-02,-2.5,-7.6,759.0,3.0,1446
336,108,서울,2022-12-03,2.1,-0.3,1.0,7.0,1431
337,108,서울,2022-12-04,-3.5,-5.2,2400.0,-0.2,1
338,108,서울,2022-12-05,-3.1,-7.0,755.0,1.9,1458
339,108,서울,2022-12-06,0.9,-3.9,243.0,5.3,1400
340,108,서울,2022-12-07,4.9,1.2,805.0,9.0,1520
341,108,서울,2022-12-08,3.7,0.1,742.0,9.1,1251
342,108,서울,2022-12-09,4.5,0.9,345.0,10.2,1345
343,108,서울,2022-12-10,2.6,-0.6,758.0,6.7,1306
344,108,서울,2022-12-11,1.6,-1.5,645.0,6.8,1412
345,108,서울,2022-12-12,2.0,-2.0,345.0,6.3,1408
346,108,서울,2022-12-13,0.0,-6.4,2356.0,3.1,233
347,108,서울,2022-12-14,-8.4,-11.0,742.0,-4.9,1451
348,108,서울,2022-12-15,-4.5,-8.5,1.0,-1.3,1752
349,108,서울,2022-12-16,-6.3,-9.6,635.0,-2.2,1303
350,108,서울,2022-12-17,-7.0,-9.8,2322.0,-3.2,1245
351,108,서울,2022-12-18,-9.5,-12.4,740.0,-5.6,1440
352,108,서울,2022-12-19,-7.0,-12.0,357.0,-2.5,1426
353,108,서울,2022-12-20,-3.2,-9.5,717.0,2.9,1440
354,108,서울,2022-12-21,-0.1,-2.6,2347.0,2.6,1559
355,108,서울,2022-12-22,-7.8,-11.3,2355.0,-2.6,1
356,108,서울,2022-12-23,-11.8,-13.7,619.0,-8.6,1514
357,108,서울,2022-12-24,-8.4,-13.5,743.0,-2.0,1619
358,108,서울,2022-12-25,-5.4,-9.6,611.0,0.2,1532
359,108,서울,2022-12-26,-3.9,-7.9,730.0,1.7,1532
360,108,서울,2022-12-27,-2.6,-7.3,720.0,3.3,1515
361,108,서울,2022-12-28,-3.3,-6.0,2355.0,0.1,1453
362,108,서울,2022-12-29,-2.9,-7.8,728.0,2.1,1522
363,108,서울,2022-12-30,-1.8,-4.4,2355.0,2.3,1354
364,108,서울,2022-12-31,-1.2,-5.1,125.0,2.1,1530
